Date,Open,High,Low,Close,Adj Close,Volume,Returns,Daily_Return,SP500,T10Y3M,DGS10,DEXUSEU,CBBTCUSD,T10YIE,VIXCLS,DAAA,AMERIBOR,T5YIE,BAMLH0A0HYM2,DGS1,RSI_14,OBV,Close_EMA_50,ROC_10,Momentum_10,SMA_50,SMA_200,VIX_Close
2021-09-17,587.8499755859375,590.280029296875,580.8499755859375,589.3499755859375,589.3499755859375,4145100.0,2.8499755859375,0.004847525153642174,4432.99,1.33,1.37,1.1734,47337.8,2.33,20.81,2.48,0.09862000000000001,2.51,3.04,0.07,55.1970187616171,31654600.0,552.8871399808311,-0.19982958569313425,7.27996826171875,543.1491967773437,523.9694493103027,20.809999465942383
2021-09-20,586.7899780273438,591.530029296875,568.0800170898438,575.4299926757812,575.4299926757812,3732200.0,-13.91998291015625,-0.02390261857371989,4357.73,1.27,1.31,1.1729,42991.14,2.29,25.71,2.42,0.10137,2.43,3.23,0.07,43.64124497392964,27922400.0,553.7711734198488,-2.557031119835329,-13.1199951171875,544.0425964355469,524.4510992431641,25.709999084472656
2021-09-21,578.3099975585938,581.8800048828125,569.3699951171875,573.1400146484375,573.1400146484375,2250900.0,-2.28997802734375,-0.003987534146012273,4354.19,1.3,1.33,1.1724,40656.13,2.29,24.36,2.45,0.09352,2.44,3.17,0.07,31.419264976071887,25671500.0,554.53073582097,-5.533122267383894,-17.3900146484375,544.7857971191406,524.9136492919922,24.360000610351562
2021-09-22,579.6900024414062,595.6500244140625,579.6900024414062,590.6500244140625,590.6500244140625,4021800.0,17.510009765625,0.030093626201316503,4395.64,1.29,1.32,1.1739,43544.09,2.28,20.87,2.45,0.10038000000000001,2.41,3.09,0.08,41.04328217042947,29693300.0,555.9471785108952,-2.5410384768734584,-15.39996337890625,545.85259765625,525.4579493713379,20.8700008392334
2021-09-23,590.7899780273438,599.3200073242188,589.1300048828125,593.260009765625,593.260009765625,2526200.0,2.6099853515625,0.004409101206045207,4448.98,1.38,1.41,1.1735,44892.71,2.31,18.63,2.52,0.09954,2.48,3.03,0.08,41.51203718040864,32219500.0,557.4104267953945,-0.716264755347118,-4.27996826171875,546.9041979980469,526.0008993530273,18.6299991607666
2021-09-24,592.5,592.97998046875,583.6400146484375,592.3900146484375,592.3900146484375,2126200.0,-0.8699951171875,-0.0014675414421017052,4455.48,1.44,1.47,1.1715,42816.65,2.34,17.75,2.59,0.08683,2.47,3.05,0.08,41.06115942536977,30093300.0,558.7821753386512,-1.0572481902104802,-6.3299560546875,547.792998046875,526.5216494750977,17.75
2021-09-27,587.9500122070312,593.5800170898438,576.9299926757812,592.6400146484375,592.6400146484375,2504700.0,0.25,0.00042193024231984566,4443.11,1.44,1.48,1.1702,42214.52,2.35,18.76,2.59,0.09908,2.5,3.06,0.09,41.24454120276227,32598000.0,560.1099337429566,0.5684869497200706,3.35003662109375,548.7867980957031,527.1017495727539,18.760000228881836
2021-09-28,589.0,599.5399780273438,580.1599731445312,583.8499755859375,583.8499755859375,4431100.0,-8.7900390625,-0.014943098028939339,4352.63,1.5,1.54,1.1681,41006.19,2.38,23.25,2.68,0.08767000000000001,2.53,3.13,0.09,37.45477372202351,28166900.0,561.0409157760148,1.0540649607754915,6.0899658203125,549.85759765625,527.6065994262696,23.25
2021-09-29,589.010009765625,609.8800048828125,588.010009765625,599.0599975585938,599.0599975585938,6221000.0,15.21002197265625,0.0257176972625075,4359.46,1.51,1.55,1.1612,41522.49,2.37,22.56,2.69,0.10472000000000001,2.52,3.09,0.09,50.798497910772404,34387900.0,562.5318601596455,2.7776352492035805,16.19000244140625,551.1931970214844,528.1768994140625,22.559999465942383
2021-09-30,608.0499877929688,619.0,608.0499877929688,610.3400268554688,610.3400268554688,6612600.0,11.280029296875,0.018654466971889327,4307.54,1.48,1.52,1.1577,43834.03,2.37,23.14,2.7,0.09879,2.51,3.15,0.09,55.51864535305382,41000500.0,564.4066902261483,4.064795712782399,23.84002685546875,552.7789978027344,528.7750994873047,23.139999389648438
